DateX,soi
01-Jan-1866,-0.62
01-Feb-1866,-0.12
01-Mar-1866,-0.62
01-Apr-1866,-0.65
01-May-1866,0.04
01-Jun-1866,-0.82
01-Jul-1866,-0.34
01-Aug-1866,0.36
01-Sep-1866,-0.18
01-Oct-1866,0.07
01-Nov-1866,1.1
01-Dec-1866,-0.16
01-Jan-1867,0.09
01-Feb-1867,-0.01
01-Mar-1867,-0.09
01-Apr-1867,0.83
01-May-1867,0.5
01-Jun-1867,-0.48
01-Jul-1867,0.44
01-Aug-1867,0.34
01-Sep-1867,0.12
01-Oct-1867,-0.56
01-Nov-1867,-0.65
01-Dec-1867,-0.89
01-Jan-1868,-0.16
01-Feb-1868,-0.34
01-Mar-1868,-1.56
01-Apr-1868,0.3
01-May-1868,-1.34
01-Jun-1868,-2.2
01-Jul-1868,-0.4
01-Aug-1868,-1.41
01-Sep-1868,-1.23
01-Oct-1868,-1.24
01-Nov-1868,-1.49
01-Dec-1868,0.52
01-Jan-1869,-1.9
01-Feb-1869,-0.26
01-Mar-1869,-0.59
01-Apr-1869,2.12
01-May-1869,1.4
01-Jun-1869,1.53
01-Jul-1869,1.42
01-Aug-1869,0.94
01-Sep-1869,0.12
01-Oct-1869,0.85
01-Nov-1869,0.56
01-Dec-1869,0.42
01-Jan-1870,1.06
01-Feb-1870,0.18
01-Mar-1870,-0.75
01-Apr-1870,0.47
01-May-1870,-0.11
01-Jun-1870,-1.1
01-Jul-1870,0.17
01-Aug-1870,0.98
01-Sep-1870,-0
01-Oct-1870,-0.58
01-Nov-1870,-0.86
01-Dec-1870,-1.29
01-Jan-1871,-1.13
01-Feb-1871,-0.13
01-Mar-1871,-2
01-Apr-1871,-0.46
01-May-1871,-0.47
01-Jun-1871,0.24
01-Jul-1871,0.31
01-Aug-1871,0.38
01-Sep-1871,0.58
01-Oct-1871,-0.14
01-Nov-1871,-0.02
01-Dec-1871,0.97
01-Jan-1872,2.69
01-Feb-1872,1.12
01-Mar-1872,1.69
01-Apr-1872,-0.54
01-May-1872,1.35
01-Jun-1872,2.45
01-Jul-1872,2.3
01-Aug-1872,0.99
01-Sep-1872,3.14
01-Oct-1872,1.9
01-Nov-1872,3.09
01-Dec-1872,2.8
01-Jan-1873,2.47
01-Feb-1873,1.12
01-Mar-1873,1.63
01-Apr-1873,2.29
01-May-1873,1.19
01-Jun-1873,-3.09
01-Jul-1873,-1.14
01-Aug-1873,-0.59
01-Sep-1873,-2.13
01-Oct-1873,-1.78
01-Nov-1873,-0.36
01-Dec-1873,1.33
01-Jan-1874,0.9
01-Feb-1874,-0.28
01-Mar-1874,-0.52
01-Apr-1874,0.98
01-May-1874,1.29
01-Jun-1874,-1.92
01-Jul-1874,-0.14
01-Aug-1874,0.75
01-Sep-1874,2.03
01-Oct-1874,2.19
01-Nov-1874,0.53
01-Dec-1874,1.28
01-Jan-1875,0.65
01-Feb-1875,-0.11
01-Mar-1875,-1
01-Apr-1875,1.4
01-May-1875,0.75
01-Jun-1875,2.57
01-Jul-1875,-0.49
01-Aug-1875,-0.21
01-Sep-1875,0.83
01-Oct-1875,0.93
01-Nov-1875,-1.54
01-Dec-1875,-0.54
01-Jan-1876,1.16
01-Feb-1876,0.98
01-Mar-1876,-0.1
01-Apr-1876,0.94
01-May-1876,0.75
01-Jun-1876,1.98
01-Jul-1876,-0.51
01-Aug-1876,1.08
01-Sep-1876,0.98
01-Oct-1876,-1
01-Nov-1876,-0.46
01-Dec-1876,-0.45
01-Jan-1877,-0.88
01-Feb-1877,-1.44
01-Mar-1877,-1.07
01-Apr-1877,-3.87
01-May-1877,-1.71
01-Jun-1877,-4.34
01-Jul-1877,-0.96
01-Aug-1877,-1.06
01-Sep-1877,-1.71
01-Oct-1877,-1.7
01-Nov-1877,-1.31
01-Dec-1877,-1.52
01-Jan-1878,-0.98
01-Feb-1878,-2.22
01-Mar-1878,-1.86
01-Apr-1878,-1.07
01-May-1878,0.1
01-Jun-1878,-0.59
01-Jul-1878,1.6
01-Aug-1878,1.12
01-Sep-1878,1.7
01-Oct-1878,0.94
01-Nov-1878,1.39
01-Dec-1878,1.89
01-Jan-1879,1.28
01-Feb-1879,1.33
01-Mar-1879,1.3
01-Apr-1879,1.59
01-May-1879,0.1
01-Jun-1879,1.85
01-Jul-1879,2.19
01-Aug-1879,2.2
01-Sep-1879,1.8
01-Oct-1879,1.53
01-Nov-1879,0.76
01-Dec-1879,-0.71
01-Jan-1880,1.14
01-Feb-1880,0.7
01-Mar-1880,1.43
01-Apr-1880,0.79
01-May-1880,1.22
01-Jun-1880,0.97
01-Jul-1880,0.21
01-Aug-1880,1.26
01-Sep-1880,0.73
01-Oct-1880,0.56
01-Nov-1880,0.74
01-Dec-1880,-0.33
01-Jan-1881,-0.84
01-Feb-1881,-0.67
01-Mar-1881,0.02
01-Apr-1881,0.43
01-May-1881,-0.56
01-Jun-1881,-0.78
01-Jul-1881,-0.51
01-Aug-1881,-1.39
01-Sep-1881,-1.35
01-Oct-1881,-2.6
01-Nov-1881,0.49
01-Dec-1881,0.7
01-Jan-1882,-0.76
01-Feb-1882,-0.26
01-Mar-1882,0.41
01-Apr-1882,-0.06
01-May-1882,0.35
01-Jun-1882,-1.75
01-Jul-1882,-2.13
01-Aug-1882,-2.74
01-Sep-1882,-1.44
01-Oct-1882,-0.09
01-Nov-1882,0.21
01-Dec-1882,1.04
01-Jan-1883,0.48
01-Feb-1883,-0.95
01-Mar-1883,-2.94
01-Apr-1883,1.63
01-May-1883,1.47
01-Jun-1883,0.26
01-Jul-1883,-1.01
01-Aug-1883,0.06
01-Sep-1883,-0.81
01-Oct-1883,0.36
01-Nov-1883,0.19
01-Dec-1883,-1.77
01-Jan-1884,-1.4
01-Feb-1884,-0.61
01-Mar-1884,0.88
01-Apr-1884,-1.6
01-May-1884,0.18
01-Jun-1884,0.98
01-Jul-1884,-0.28
01-Aug-1884,-0.63
01-Sep-1884,-0.7
01-Oct-1884,0.38
01-Nov-1884,-0.26
01-Dec-1884,-1.5
01-Jan-1885,-1.78
01-Feb-1885,0.04
01-Mar-1885,0.39
01-Apr-1885,0.16
01-May-1885,0.01
01-Jun-1885,-1.91
01-Jul-1885,-0.45
01-Aug-1885,-1.13
01-Sep-1885,-0.43
01-Oct-1885,-1.92
01-Nov-1885,-1.55
01-Dec-1885,0.47
01-Jan-1886,-0.22
01-Feb-1886,0
01-Mar-1886,0.15
01-Apr-1886,0.49
01-May-1886,0.54
01-Jun-1886,0.43
01-Jul-1886,0.74
01-Aug-1886,1.33
01-Sep-1886,1.28
01-Oct-1886,1.3
01-Nov-1886,0.88
01-Dec-1886,1.51
01-Jan-1887,1.2
01-Feb-1887,0.95
01-Mar-1887,0.95
01-Apr-1887,1
01-May-1887,-0.58
01-Jun-1887,0.46
01-Jul-1887,0.53
01-Aug-1887,0.33
01-Sep-1887,0.45
01-Oct-1887,0.51
01-Nov-1887,-0.63
01-Dec-1887,0.45
01-Jan-1888,-0.32
01-Feb-1888,-0.33
01-Mar-1888,-1.47
01-Apr-1888,-2.8
01-May-1888,-1.12
01-Jun-1888,-2.16
01-Jul-1888,-1.64
01-Aug-1888,-1.09
01-Sep-1888,-0.94
01-Oct-1888,-1.61
01-Nov-1888,-1.37
01-Dec-1888,-0.4
01-Jan-1889,-2.84
01-Feb-1889,-0.21
01-Mar-1889,-3.2
01-Apr-1889,0.07
01-May-1889,-0.19
01-Jun-1889,2.49
01-Jul-1889,0.18
01-Aug-1889,0.05
01-Sep-1889,1.05
01-Oct-1889,0.29
01-Nov-1889,1.92
01-Dec-1889,2.35
01-Jan-1890,2.16
01-Feb-1890,1.03
01-Mar-1890,1.43
01-Apr-1890,0.75
01-May-1890,0.35
01-Jun-1890,0.45
01-Jul-1890,-0.23
01-Aug-1890,-0.42
01-Sep-1890,0.88
01-Oct-1890,0.17
01-Nov-1890,0.16
01-Dec-1890,-0.04
01-Jan-1891,1.56
01-Feb-1891,-0.49
01-Mar-1891,-1.22
01-Apr-1891,0.7
01-May-1891,0.28
01-Jun-1891,-0.28
01-Jul-1891,-0.58
01-Aug-1891,-1.2
01-Sep-1891,-1.08
01-Oct-1891,0.05
01-Nov-1891,-0.49
01-Dec-1891,-0.62
01-Jan-1892,0.2
01-Feb-1892,-1.13
01-Mar-1892,1.09
01-Apr-1892,0.96
01-May-1892,1.37
01-Jun-1892,2.25
01-Jul-1892,0.78
01-Aug-1892,0.48
01-Sep-1892,0.01
01-Oct-1892,0.85
01-Nov-1892,-0.88
01-Dec-1892,0.3
01-Jan-1893,0.91
01-Feb-1893,0.65
01-Mar-1893,0.32
01-Apr-1893,1.44
01-May-1893,1.76
01-Jun-1893,2.15
01-Jul-1893,1.88
01-Aug-1893,0.6
01-Sep-1893,1.21
01-Oct-1893,0.63
01-Nov-1893,0.83
01-Dec-1893,-0.5
01-Jan-1894,2.15
01-Feb-1894,0.97
01-Mar-1894,0.82
01-Apr-1894,1.1
01-May-1894,-0.86
01-Jun-1894,-0.01
01-Jul-1894,0.47
01-Aug-1894,-1.4
01-Sep-1894,-0.24
01-Oct-1894,0.31
01-Nov-1894,-0.89
01-Dec-1894,0.07
01-Jan-1895,0.54
01-Feb-1895,0.62
01-Mar-1895,-0.26
01-Apr-1895,1.34
01-May-1895,0.65
01-Jun-1895,-1.26
01-Jul-1895,-0.75
01-Aug-1895,-1.02
01-Sep-1895,-0.52
01-Oct-1895,-0.82
01-Nov-1895,-0.47
01-Dec-1895,-1
01-Jan-1896,0.07
01-Feb-1896,0.37
01-Mar-1896,-0.84
01-Apr-1896,-1.19
01-May-1896,-3.23
01-Jun-1896,-2.99
01-Jul-1896,-1.39
01-Aug-1896,-2.55
01-Sep-1896,-1.88
01-Oct-1896,-2.01
01-Nov-1896,-1.26
01-Dec-1896,-1.69
01-Jan-1897,-1.42
01-Feb-1897,-0.86
01-Mar-1897,-2.01
01-Apr-1897,-2
01-May-1897,-1.59
01-Jun-1897,-0.16
01-Jul-1897,-0.19
01-Aug-1897,-0.11
01-Sep-1897,-0
01-Oct-1897,0.1
01-Nov-1897,-0.96
01-Dec-1897,1.04
01-Jan-1898,0.65
01-Feb-1898,0.47
01-Mar-1898,2.02
01-Apr-1898,1.34
01-May-1898,-0.11
01-Jun-1898,-0.51
01-Jul-1898,0.65
01-Aug-1898,0.72
01-Sep-1898,0.88
01-Oct-1898,0.34
01-Nov-1898,0.02
01-Dec-1898,0.42
01-Jan-1899,1.31
01-Feb-1899,0.87
01-Mar-1899,1.38
01-Apr-1899,0.49
01-May-1899,-0.76
01-Jun-1899,-1.43
01-Jul-1899,-0.53
01-Aug-1899,-1.18
01-Sep-1899,-0.19
01-Oct-1899,0.74
01-Nov-1899,1.66
01-Dec-1899,-0.44
01-Jan-1900,-0.89
01-Feb-1900,-0.73
01-Mar-1900,-2.95
01-Apr-1900,-2.1
01-May-1900,-0.76
01-Jun-1900,3.1
01-Jul-1900,1.02
01-Aug-1900,0.75
01-Sep-1900,-1.61
01-Oct-1900,-2.13
01-Nov-1900,-0.75
01-Dec-1900,-0.73
01-Jan-1901,-0.09
01-Feb-1901,0.21
01-Mar-1901,0.88
01-Apr-1901,0.64
01-May-1901,0.08
01-Jun-1901,2.3
01-Jul-1901,1.51
01-Aug-1901,0.8
01-Sep-1901,-1.58
01-Oct-1901,-2.69
01-Nov-1901,-0.95
01-Dec-1901,-0.32
01-Jan-1902,1.68
01-Feb-1902,-0.28
01-Mar-1902,1.1
01-Apr-1902,1.15
01-May-1902,1.41
01-Jun-1902,0.24
01-Jul-1902,0.21
01-Aug-1902,-1.09
01-Sep-1902,-1.76
01-Oct-1902,-0.77
01-Nov-1902,-0.26
01-Dec-1902,-0.45
01-Jan-1903,-1.1
01-Feb-1903,-1.11
01-Mar-1903,1.8
01-Apr-1903,2.18
01-May-1903,0.92
01-Jun-1903,-0.22
01-Jul-1903,0.6
01-Aug-1903,-0.15
01-Sep-1903,0.81
01-Oct-1903,0.3
01-Nov-1903,-0.05
01-Dec-1903,1.66
01-Jan-1904,1.39
01-Feb-1904,1.53
01-Mar-1904,0.89
01-Apr-1904,3.64
01-May-1904,1
01-Jun-1904,-1.01
01-Jul-1904,-0.87
01-Aug-1904,-0.11
01-Sep-1904,-0.01
01-Oct-1904,-0.11
01-Nov-1904,-1.81
01-Dec-1904,0.18
01-Jan-1905,-1.08
01-Feb-1905,-1.84
01-Mar-1905,-3.51
01-Apr-1905,-3.05
01-May-1905,-1.68
01-Jun-1905,-2.29
01-Jul-1905,-2.11
01-Aug-1905,-0.96
01-Sep-1905,-0.7
01-Oct-1905,-0.83
